symbol,ZSTAT,P
DCUN1D2,2.2769,0.011396
FAM60A,2.276,0.011423
AMZ1,2.2758,0.011428
HOXC11,2.2743,0.011474
RHOF,2.2695,0.01162
MAN2C1,2.2689,0.011636
KIF13B,2.2687,0.011642
RNF39,2.2685,0.011649
ALDH6A1,2.2685,0.011649
B3GNT7,2.2682,0.011658
RERE,2.2665,0.011711
TMEM144,2.2656,0.011737
TRIM8,2.2619,0.011853
ZSCAN29,2.2597,0.01192
SULT4A1,2.2596,0.011923
GTSF1L,2.2577,0.011983
CPLX2,2.2572,0.011999
STRC,2.2555,0.012052
ELL3,2.2534,0.012116
DHDDS,2.2499,0.012228
SLC9A4,2.2494,0.012243
SETD1B,2.2461,0.012348
HOXC10,2.2458,0.012359
C5orf58,2.2442,0.012411
FXYD5,2.2439,0.012419
OR11H4,2.2424,0.012468
ADAM2,2.2422,0.012473
MSANTD4,2.2404,0.012534
DHODH,2.2389,0.012582
SLC7A6OS,2.2356,0.012689
RAN,2.2345,0.012726
SLC6A17,2.2311,0.012838
TP73,2.2297,0.012884
BARX1,2.2294,0.012895
PPP4R1,2.2292,0.012901
TNFRSF13C,2.2291,0.012904
HOXC12,2.2273,0.012964
PQLC2,2.2264,0.012993
FAM53A,2.2248,0.013048
TP53BP1,2.2221,0.013139
PRSS1,2.2217,0.013153
SYN2,2.2208,0.013182
LPO,2.2203,0.0132
SLC15A2,2.22,0.01321
TRIP4,2.2192,0.013235
PAXIP1,2.219,0.013243
RALBP1,2.2187,0.013252
CCDC176,2.2181,0.013273
THSD4,2.2176,0.01329
ENTPD5,2.2166,0.013325
SNUPN,2.2161,0.013341
LAIR2,2.2153,0.013369
HYPK,2.2145,0.013399
DEFB113,2.2118,0.01349
GJD4,2.2116,0.013498
SLFN12,2.2093,0.013575
TFAP2C,2.2062,0.013684
ADAL,2.2048,0.013734
CSNK1G1,2.2034,0.013783
LCMT2,2.201,0.013867
KDSR,2.1965,0.014028
NDUFB4,2.1959,0.014051
GAL3ST2,2.1921,0.014185
POFUT2,2.19,0.014261
LGI4,2.1868,0.014378
HEXIM1,2.1864,0.014392
INS-IGF2,2.1835,0.0145
MCM4,2.1835,0.0145
IL18R1,2.1817,0.014567
EIF4G1,2.1812,0.014583
C11orf49,2.1809,0.014596
OXSR1,2.1809,0.014596
ACAT1,2.1806,0.014607
LIN52,2.1787,0.014678
DYNC1H1,2.1763,0.014765
C21orf59,2.176,0.014778
MTX3,2.1756,0.014791
PLA2G4D,2.1744,0.014837
BSN,2.1724,0.014912
BID,2.1723,0.014916
KLKB1,2.171,0.014966
EIF3F,2.1697,0.015016
RIPK4,2.1688,0.015048
ST6GALNAC1,2.1688,0.01505
BMP5,2.1669,0.01512
PFDN2,2.1666,0.015134
KIF26B,2.1662,0.015147
NDC1,2.1653,0.015182
ARF4,2.1652,0.015187
KIAA0101,2.1642,0.015226
ARMC4,2.1641,0.015229
LOC101929748,2.1627,0.015282
ANKRD45,2.161,0.015349
POLG,2.1602,0.015379
LEF1,2.1602,0.01538
FAM131A,2.1587,0.015436
DMBX1,2.1545,0.015601
MARCH4,2.1518,0.015707
HOXA13,2.1513,0.015725
