symbol,ZSTAT,P
CRIPT,2.0988,0.017916
CNN3,2.0973,0.017985
TMEM106B,2.0952,0.018076
MCHR2,2.0947,0.018097
UCP3,2.0941,0.018127
TRAK1,2.0935,0.018153
TNFSF12,2.0919,0.018224
C3orf20,2.0911,0.01826
CXCL12,2.0902,0.018301
ZC3HAV1,2.0876,0.018416
TMEM173,2.0876,0.018417
GPR139,2.087,0.018443
NCKIPSD,2.0867,0.018459
CDK8,2.0844,0.018561
TNFRSF13C,2.0836,0.018596
BIVM-ERCC5,2.0802,0.018754
IL6ST,2.0761,0.018942
WRAP73,2.0761,0.018943
CPS1,2.0738,0.019048
ZFP30,2.0737,0.019052
USP34,2.0728,0.019096
YIPF7,2.0719,0.019138
SMARCC1,2.0709,0.019182
ABCB1,2.0706,0.0192
NAA40,2.0702,0.019219
QRICH1,2.0701,0.019221
CARD10,2.0693,0.019257
NDUFA5,2.0691,0.019266
APEH,2.0691,0.019267
HCRTR2,2.0689,0.019279
OR52E4,2.0675,0.019344
HMG20B,2.0671,0.019364
KIF20B,2.066,0.019413
GNAO1,2.0652,0.019451
LOC101927147,2.0652,0.019454
FOXN1,2.0645,0.019487
CBY3,2.0641,0.019505
PTPRS,2.0614,0.019633
THAP4,2.0589,0.019751
TNFSF12-TNFSF13,2.0557,0.019906
ZNF829,2.0543,0.019973
NUGGC,2.0537,0.020004
CYP17A1,2.0518,0.020094
MYH9,2.0518,0.020094
UHMK1,2.0516,0.020105
DPRX,2.0515,0.020109
IL18R1,2.0479,0.020286
RPS10-NUDT3,2.0466,0.02035
CD48,2.0451,0.020421
C10orf32,2.045,0.020425
PRR23C,2.0448,0.020437
OR52E8,2.0441,0.020474
WDR53,2.0436,0.020496
PIK3CB,2.0425,0.020551
OSTM1,2.0401,0.020672
CCDC24,2.0385,0.020748
BEST2,2.0368,0.020837
ASNA1,2.0368,0.020837
C19orf43,2.0368,0.020837
OR1L1,2.0354,0.020905
STIM1,2.0345,0.020949
ERGIC3,2.0344,0.020955
SLC16A14,2.0325,0.021052
PSD,2.0321,0.021072
DAO,2.0316,0.021097
TMEM177,2.0307,0.021141
CCDC88A,2.0283,0.021267
PRDM1,2.0276,0.021303
SCAPER,2.0274,0.021311
SLC51B,2.0264,0.021359
RRP1B,2.0251,0.02143
LGALS13,2.025,0.021434
CDK5R2,2.0249,0.021441
RD3L,2.0236,0.021507
STEAP3,2.0231,0.021529
SERPINA12,2.0228,0.021545
MICALL2,2.0212,0.021627
TCL1B,2.0211,0.021635
POLR2A,2.0204,0.021672
KIF13B,2.0203,0.021678
SYT9,2.0194,0.021725
C20orf173,2.0188,0.021752
ADARB1,2.0147,0.021969
LILRB3,2.0144,0.021982
CX3CL1,2.0139,0.022012
GLT6D1,2.0128,0.022068
TACR2,2.0126,0.022076
VPS8,2.0122,0.022097
AP1AR,2.0118,0.022123
ALOX12,2.0114,0.02214
KIAA1841,2.0107,0.022178
SRSF2,2.0072,0.022367
CANX,2.0062,0.022418
TMEM240,2.0061,0.022424
MRPL19,2.006,0.022426
TTR,2.0056,0.022447
ST7,2.0037,0.022549
PRR23A,2.003,0.022588
CDCA7L,2.0012,0.022684
PIK3CA,1.9998,0.02276
CSPG5,1.9988,0.022817
NME5,1.9983,0.022842
FOXRED2,1.9983,0.022843
SARS,1.9949,0.023025
MFNG,1.9942,0.023064
DHX30,1.994,0.023078
DGCR2,1.9933,0.023113
NOL7,1.9923,0.023169
SIM1,1.992,0.023187
CRB3,1.9914,0.023219
OR1L3,1.9913,0.023223
ST8SIA1,1.9871,0.023457
NPAT,1.9869,0.023464
IQCJ-SCHIP1,1.9842,0.023615
COL20A1,1.9841,0.023624
SSU72,1.9833,0.023666
NUF2,1.982,0.02374
MED19,1.9819,0.023744
MBTPS1,1.9817,0.023757
FGD5,1.9802,0.023843
ACTN4,1.9801,0.023847
METTL10,1.9796,0.023874
ISL2,1.9792,0.023895
COX19,1.9786,0.023928
CCDC71,1.978,0.023963
AFTPH,1.9772,0.024008
MMP8,1.9753,0.024114
FLT1,1.9747,0.024153
TEX30,1.9737,0.024209
FSCN3,1.9733,0.024231
ERCC8,1.9704,0.024398
HSF2BP,1.9698,0.024431
C14orf177,1.9694,0.024453
TOB1,1.9682,0.024521
WDR77,1.9672,0.024579
IQCJ,1.9667,0.024609
RAD52,1.9662,0.024637
GBP3,1.9658,0.024661
PRDM11,1.965,0.024707
SUPT3H,1.9647,0.024724
SIRT3,1.9636,0.02479
RBMS3,1.9628,0.024833
PPIB,1.9623,0.024864
RANBP2,1.9562,0.02522
C4orf32,1.9555,0.025263
WNT10A,1.9551,0.025287
CPB1,1.9538,0.025362
PIGF,1.9537,0.025367
CCL18,1.9535,0.025379
PEX5,1.953,0.025412
EDN1,1.9529,0.025418
RHOF,1.9527,0.025428
ZNF397,1.9512,0.025514
PLCG2,1.9506,0.025555
CSMD3,1.9494,0.025625
C1orf162,1.9494,0.025626
IRF2BPL,1.9492,0.025634
SETD1B,1.9489,0.025654
IQUB,1.9485,0.025678
NPAS2,1.9482,0.025696
ALKBH3,1.947,0.025768
KPNA1,1.9469,0.025776
TCEA3,1.9465,0.0258
SST,1.9461,0.025822
TBX4,1.9451,0.025879
NOM1,1.9425,0.02604
POU6F2,1.9422,0.026056
CTNND1,1.9422,0.026058
CD8B,1.9398,0.0262
CIPC,1.9385,0.026281
CYP26B1,1.9384,0.026287
GBF1,1.9384,0.02629
BTBD18,1.937,0.026374
IL24,1.9365,0.026401
TRIM8,1.9355,0.026465
FBXO45,1.9355,0.026467
YTHDF1,1.9348,0.02651
TRIP11,1.9338,0.026572
ATRAID,1.9336,0.026579
RCN2,1.9336,0.02658
F10,1.9328,0.02663
AHCYL2,1.9311,0.026736
DDX52,1.9306,0.026765
C11orf31,1.9302,0.026793
KEL,1.9295,0.026833
RPTOR,1.9289,0.02687
LRRC4,1.9273,0.026971
ENPP1,1.9266,0.027017
FCHO2,1.9259,0.027061
ANGPT4,1.9258,0.027064
IARS,1.9258,0.027066
CHRNB3,1.9257,0.027072
RMND5A,1.9253,0.027094
OAS1,1.9207,0.027383
POC1B,1.9178,0.02757
OR6Q1,1.9154,0.02772
ADD3,1.9153,0.027726
ZC3H13,1.9152,0.027735
SLC22A18,1.9146,0.027769
BRD8,1.914,0.027809
ATXN7L3B,1.9132,0.027862
SLC30A6,1.913,0.027876
CAPN1,1.9125,0.027903
NUDT3,1.9121,0.027932
KCNC1,1.9114,0.027979
PTPN7,1.9084,0.028167
WDR1,1.9072,0.028246
LRCH1,1.9069,0.028268
TTC39C,1.9055,0.028358
IL1RL1,1.9053,0.02837
GRK4,1.9052,0.028374
CYP2W1,1.9039,0.028459
DTX3L,1.9022,0.02857
TDRD5,1.9018,0.028599
C11orf58,1.9003,0.0287
EVA1C,1.8999,0.028721
EXOC4,1.8973,0.028896
ATM,1.8957,0.029001
SLC38A7,1.8948,0.029059
RHOG,1.8931,0.029172
PARP9,1.8927,0.029201
GMEB2,1.8916,0.02927
TMX2,1.8912,0.029297
UBL7,1.8903,0.029357
BPTF,1.8901,0.029373
PTGIS,1.8891,0.029442
UPF1,1.8886,0.029474
B2M,1.8885,0.029483
DAB2,1.8878,0.029524
CDKN1C,1.8876,0.02954
LOC100130451,1.8873,0.029562
