symbol,ZSTAT,P
LOC101060179,2.2043,0.01375
SHPRH,2.2043,0.013753
SCN7A,2.2042,0.013756
ATP5J2-PTCD1,2.2028,0.013804
UBP1,2.2013,0.013858
CCND3,2.1996,0.013918
CDK7,2.1986,0.013953
TOMM20L,2.1962,0.014037
CSMD3,2.196,0.014047
TMEM202,2.1959,0.014049
HNRNPK,2.1954,0.014067
SCD,2.1928,0.014161
HCFC2,2.1926,0.014169
CYP2C9,2.1915,0.014208
CDKN2B,2.1914,0.014213
TRIM36,2.1897,0.014271
CLU,2.1893,0.014287
UBE2E3,2.1869,0.014374
ASPSCR1,2.1851,0.014442
L3HYPDH,2.1826,0.014532
SLC44A3,2.1808,0.014599
RAB18,2.1804,0.014614
RMI1,2.18,0.01463
COL24A1,2.1788,0.014675
TDRD10,2.1756,0.014794
ITGA9,2.1755,0.014798
SLC25A12,2.1747,0.014828
LY9,2.1742,0.014845
TREML4,2.173,0.014891
AMER3,2.1729,0.014896
TTBK1,2.172,0.014929
CYP27C1,2.1694,0.015025
KIAA1841,2.1684,0.015064
PTDSS2,2.168,0.01508
KRT32,2.1678,0.015086
TREML2,2.1673,0.015107
JKAMP,2.167,0.015116
RPP40,2.167,0.015117
OFCC1,2.1642,0.015226
ARMC4,2.1597,0.015398
RUSC1,2.1586,0.015442
TNNT3,2.1559,0.015544
C21orf2,2.1554,0.015566
CREB3,2.1548,0.015589
ARL6IP6,2.1538,0.015627
ANO6,2.1526,0.015674
SUSD2,2.1505,0.015759
CHRNB2,2.1505,0.01576
SPTSSB,2.1493,0.015805
ZBP1,2.1493,0.015806
HAT1,2.1474,0.015881
GSX1,2.1447,0.015987
CADPS,2.1443,0.016006
DDX10,2.1439,0.016021
RCHY1,2.1437,0.016028
PHC2,2.1405,0.016156
GLYCTK,2.1405,0.016157
TOMM40,2.1384,0.01624
GPR135,2.134,0.016421
MAST1,2.1336,0.01644
GLDC,2.1321,0.016498
BPTF,2.1321,0.016499
GDAP2,2.1291,0.016622
TBCA,2.1286,0.016644
ANP32C,2.1281,0.016663
PEX5,2.126,0.016753
PKLR,2.1256,0.01677
NUGGC,2.1234,0.01686
SLTM,2.1211,0.016956
DEFB123,2.1189,0.017049
UBASH3A,2.1179,0.01709
CHEK1,2.1179,0.017093
ZNF577,2.1175,0.017108
NUBP2,2.1173,0.017119
RPL14,2.1142,0.017248
ZNF615,2.1135,0.01728
GPR22,2.1132,0.017292
ATP6V0D2,2.1114,0.01737
BCAS3,2.1108,0.017393
POU3F2,2.1107,0.017401
ASF1A,2.1098,0.017437
SLC35A5,2.1093,0.017458
CHST12,2.1081,0.017512
ZNF575,2.1078,0.017523
XIRP2,2.1067,0.017573
HBA1,2.105,0.017644
DNPH1,2.1049,0.017652
LUZP2,2.1038,0.017697
UCP2,2.1037,0.017701
RAC1,2.1036,0.017707
GADL1,2.1013,0.017808
DSTYK,2.1011,0.017814
SLC9A2,2.1011,0.017818
CRYM,2.1003,0.01785
RUSC1-AS1,2.0998,0.017871
OCM,2.0989,0.017915
CENPH,2.0984,0.017934
TMEM192,2.0971,0.017993
DUS4L,2.0958,0.018049
ASH1L,2.0951,0.018079
BMS1,2.0931,0.018169
MYO6,2.0925,0.018198
DUSP2,2.0909,0.018267
RNF182,2.0904,0.018291
WDR83,2.0903,0.018294
FDPS,2.0875,0.01842
