symbol,ZSTAT,P
TRIM32,2.1007,0.017832
PPM1A,2.1007,0.017833
F11,2.0974,0.017978
SPATS1,2.0942,0.018121
FAM177A1,2.0929,0.018179
GPLD1,2.0917,0.018231
ADAM20,2.0896,0.018328
QKI,2.0892,0.018345
MGAT5,2.0892,0.018346
ATG4B,2.0886,0.018372
ZNF607,2.088,0.0184
HAVCR2,2.0878,0.018406
ARAP3,2.0833,0.018611
HEG1,2.0814,0.0187
TRIM11,2.0812,0.01871
ASTN2,2.0803,0.018751
WARS2,2.0783,0.018842
ADPGK,2.078,0.018854
CTPS1,2.0736,0.01906
AOC2,2.0715,0.019154
BECN1,2.0715,0.019154
FAM91A1,2.0705,0.019201
C15orf61,2.0699,0.019231
NUDT14,2.0689,0.019277
ZGPAT,2.0681,0.019314
FGD6,2.068,0.019318
CTF1,2.0671,0.01936
SLC35C1,2.0634,0.019536
C15orf52,2.063,0.019558
TM7SF3,2.0613,0.019636
PDE6A,2.0611,0.019647
CCM2L,2.0599,0.019703
IMPACT,2.0582,0.019787
GATAD2B,2.0574,0.019822
SERPINA2,2.0573,0.019829
DISP2,2.0537,0.020004
ZADH2,2.0532,0.020026
HEY1,2.0531,0.020031
TBXAS1,2.053,0.020036
QSOX1,2.051,0.020135
BCL7C,2.0508,0.020145
SEPT9,2.0506,0.020153
CD48,2.05,0.020181
PTK7,2.0493,0.020215
HLA-C,2.049,0.020229
SPATA25,2.0489,0.020237
HKR1,2.0459,0.020384
SLC1A2,2.0455,0.020402
EPN1,2.0454,0.02041
C3orf20,2.0452,0.020418
LMNTD1,2.0445,0.020451
LRRC1,2.0444,0.020459
NTRK2,2.0429,0.020532
TOPBP1,2.0428,0.020534
FAM169A,2.0425,0.020553
EFNB2,2.0416,0.020596
GPR12,2.0409,0.020629
OR52E6,2.039,0.020723
GNB3,2.0388,0.020733
SLFNL1,2.0384,0.020757
TMEM120B,2.0357,0.02089
KLKB1,2.0351,0.02092
ZNF585A,2.0344,0.020954
DNAJC15,2.0335,0.021001
UBE3C,2.0317,0.02109
AGO2,2.0317,0.021093
MMP17,2.0307,0.02114
CCR1,2.028,0.021279
ADD1,2.0276,0.021299
FANCA,2.0272,0.021323
PDE6H,2.026,0.021382
TIMD4,2.0243,0.021472
LIME1,2.0207,0.021655
ARG2,2.0197,0.021707
IKBIP,2.0195,0.021715
FSCN3,2.0195,0.02172
MAN2B2,2.0192,0.021731
OR1M1,2.0192,0.021733
C20orf144,2.0163,0.021882
SMPD1,2.0146,0.021974
PSCA,2.0132,0.022047
ARNTL2,2.0119,0.022117
ZNF527,2.0113,0.022149
SUCNR1,2.0112,0.022151
PDSS2,2.0111,0.022157
CCND1,2.0106,0.022182
ACKR4,2.0104,0.022193
WDR47,2.0104,0.022197
PPP2R4,2.01,0.022215
TSHZ1,2.0098,0.022226
KCNAB2,2.0092,0.02226
FAM174B,2.0063,0.022413
PROC,2.006,0.022427
ZNF785,2.0058,0.022439
MUC2,2.0055,0.022457
SFXN3,2.0044,0.022515
KANK2,2.0039,0.022542
NEURL2,2.0032,0.022578
RFC5,2.0026,0.022612
CEP250,2.0022,0.022632
EFHC1,2.0005,0.022721
ZNF526,2.0005,0.022724
KREMEN1,2.0003,0.022734
EFTUD1,2.0003,0.022736
P2RY14,1.9947,0.023039
