symbol,ZSTAT,P
DSC2,2.2672,0.011688
ASNA1,2.2672,0.011688
BEST2,2.2672,0.011688
STX8,2.2664,0.011715
SNRPA,2.2658,0.011733
FOXR1,2.2653,0.011746
ARIH2OS,2.2642,0.011781
ANO7,2.2627,0.011828
KLHDC8B,2.2621,0.011847
OR10G3,2.2617,0.011859
HCK,2.259,0.011941
PCNXL4,2.2582,0.011967
FAT4,2.2553,0.012057
RAB20,2.2551,0.012065
MRPS36,2.2547,0.012077
KNOP1,2.2543,0.01209
CDH5,2.2519,0.012164
RNF126,2.2498,0.012232
TMEM186,2.2485,0.012272
CHMP5,2.2479,0.012293
TRIM35,2.2447,0.012393
CABP7,2.2425,0.012463
LGALS16,2.2421,0.012478
NKX2-2,2.2421,0.012478
WDR83OS,2.2374,0.012631
C19orf54,2.2354,0.012696
ABHD6,2.235,0.012708
GART,2.2346,0.012723
SEPT3,2.2336,0.012755
BSN,2.2308,0.012849
CDK7,2.2288,0.012913
KCTD6,2.228,0.012939
DPY19L1,2.226,0.013008
SIM1,2.2244,0.01306
SNX8,2.2237,0.013085
IMPG1,2.2231,0.013105
USP34,2.2222,0.013135
EIF6,2.2218,0.013147
LAMB2,2.2204,0.013196
CPEB1,2.2197,0.01322
CCDC24,2.2193,0.013234
CA10,2.2183,0.013266
DUSP2,2.2176,0.013292
PDLIM4,2.2151,0.013377
KRT8,2.2146,0.013394
XPO1,2.2131,0.013444
APOBEC3G,2.2131,0.013445
SLC22A4,2.2128,0.013456
PRTN3,2.2119,0.013486
TFF3,2.2116,0.013497
CCAR1,2.211,0.013516
BAP1,2.2076,0.013637
SRI,2.2065,0.013676
DHODH,2.2059,0.013694
LRRC32,2.2013,0.013859
ZNF641,2.2004,0.01389
OSR1,2.1992,0.013933
PMM2,2.1982,0.013967
ENPP4,2.1973,0.014
UQCR10,2.1972,0.014002
TMEM132E,2.1966,0.014025
CSE1L,2.1938,0.014126
FGF8,2.1914,0.014211
LY6H,2.1894,0.014284
ASNSD1,2.1872,0.014363
NPM3,2.1871,0.014368
BTRC,2.1844,0.014465
TSHZ1,2.1835,0.014498
CYP27C1,2.1828,0.014526
APOBEC3F,2.1821,0.01455
CLUH,2.182,0.014553
SHISA8,2.1793,0.014656
LYSMD3,2.1787,0.014675
COG6,2.1771,0.014736
SLC45A4,2.1754,0.014802
ASPH,2.1744,0.014836
PLSCR4,2.1739,0.014856
TMEM220,2.1735,0.014872
TOMM40,2.1699,0.015009
VPS33A,2.1699,0.015009
SLC25A48,2.1689,0.015047
TMEM110-MUSTN1,2.1686,0.015056
TMEM110,2.1682,0.01507
INSC,2.1663,0.015144
CYP8B1,2.165,0.015192
C12orf42,2.1648,0.015202
LRRC31,2.1644,0.015219
RCAN2,2.1635,0.01525
ERCC8,2.1567,0.015516
MIA,2.1553,0.015569
C3orf62,2.1539,0.015625
MAPK10,2.1526,0.015675
MYL2,2.1522,0.015689
PRSS57,2.1511,0.015735
AQP2,2.1485,0.015836
ESYT3,2.1478,0.015865
HNRNPA0,2.1447,0.015989
OOSP2,2.144,0.016017
PKD1L3,2.1418,0.016105
TM9SF3,2.134,0.016423
ME3,2.1339,0.016424
ZADH2,2.1338,0.01643
HDAC4,2.1317,0.016517
DEFA6,2.1304,0.016568
ARHGDIG,2.1265,0.016729
ATP6V0D2,2.1263,0.016739
TFAP2C,2.124,0.016835
LRRC70,2.122,0.016918
ARTN,2.1219,0.016923
PALM,2.1205,0.016984
ADCK4,2.1195,0.017024
PTPRK,2.1185,0.017066
FAM114A1,2.1183,0.017075
RCCD1,2.1178,0.017094
AGR3,2.1175,0.017108
ITPKC,2.1175,0.01711
GPRC5A,2.1172,0.01712
TFF2,2.1157,0.017185
TSC22D1,2.1129,0.017303
GPR37L1,2.1118,0.017352
CREG1,2.1094,0.017456
STOX1,2.1081,0.017513
YPEL2,2.1057,0.017614
IRF5,2.1054,0.01763
HS3ST6,2.1051,0.017639
ERC2,2.1037,0.017703
SPTSSB,2.1018,0.017785
THBS4,2.1012,0.017812
CENPH,2.1007,0.017833
SLC37A1,2.0998,0.017872
HDDC3,2.0989,0.017914
TOP1MT,2.0974,0.01798
PRR5L,2.0957,0.018054
LRRTM4,2.0943,0.018118
SMDT1,2.0924,0.0182
ZNRF2,2.0916,0.018237
